Name,Address
KFC,"31 Adeola Odeku Street, Victoria Island, Lagos, Nigeria"
KFC,"Muritala Muhammed Airport 2, Ikeja, Lagos, Nigeria"
KFC,"24, Ijaye Road, Ogba, Lagos, Nigeria"
KFC,"Jakande Round About, Lekki, Lagos, Nigeria"
KFC,"97-99 Adeniran Ogunsanya Shopping Center, Surulere, Lagos, Nigeria"
KFC,"282, Herbert Macauley Way, Yaba, Lagos, Nigeria"
Morning Side Suites,"11b, Teslim Elias Close, Victoria Island, Lagos, Nigeria"
Oven Delight Catering,"Gulf Circular Road, Satellite, Lagos, Nigeria"
Hotel Ibis,"41, Murtala Mohamed International Airport Road, Isolo, Lagos, Nigeria"
Virgins Hotel,"116, Ogunlana Drive, Surulere, Lagos, Nigeria"
Love4we,"3, Betti Street, Ikotun, Lagos, Nigeria"
Fidmak Investment,"10, Balogun Street, Ikeja, Lagos, Nigeria"
His Mercy Guest House,"47, Afinjuomo Street, Mile 12, Lagos, Nigeria"
Four Points by Sheraton,"Plot 9/10, Block 2, Cod Church Road, Victoria Island, Lagos, Nigeria"
A.G Leventis,"2, Iddo House, Iddo, Lagos, Nigeria"
Grand Cereals,"32, Kudirat Abiola Way, Ikeja, Lagos, Nigeria"
UAC Foods,"16, Ikorodu Road, Ojota, Lagos, Nigeria"
Noah's Ark Hotel,"14, Lai Yusuf Crescent, Lekki, Lagos, Nigeria"
Nostro Suites,"16, Dr. Adewale Oshin Street, Lekki, Lagos, Nigeria"
Bertola Machine Tools,"296, Ikorodu Road, Anthony Village, Lagos, Nigeria"
Nostro Suites,"5, Augustine Anozie Street, Lekki, Lagos, Nigeria"
Best Western Hotel,"12, Allen Avenue, Ikeja, Lagos, Nigeria"
Lakeem Suites,"16, Sunbo Jibowu Street, Ikoyi, Lagos, Nigeria"
Dizengoff WA,"11, Karimu Kotun Street, Victoria Island, Lagos, Nigeria"
Neander International School,"78, Lagos-epe Expressway, Epe, Lagos, Nigeria"
Villa Maria,"3, John Chuks Nnadi Drive, Lekki, Lagos, Nigeria"
Sabitex Hotel,"14, Lekki / Epe Expressway, Lekki, Lagos, Nigeria"
The Guest House,"3, Ojora Road, Ikoyi, Lagos, Nigeria"
Ebbyson Baby Stores,"72/74, Alade Market, Ikeja, Lagos, Nigeria"
Standard Organization Of Nigeria,"11, Kofo Abayomi Street, Victoria Island, Lagos, Nigeria"
Atlantic Shrimpers,"1, Victoria Arobieke Street, Lekki, Lagos, Nigeria"
Climax Hotel,"13/17, Akinde Street, Agege, Lagos, Nigeria"
Nelki's Place,"38, Yinka Bello Street, Lekki, Lagos, Nigeria"
Tiente,"264, Corporation Drive, Ikoyi, Lagos, Nigeria"
De-Vineplus Hotel and Suites,"17-19, Abel Oreniyi Street, Ikeja, Lagos, Nigeria"
Springfield Agro,"122-123, Oshodi/apapa Expressway, Isolo, Lagos, Nigeria"
Afcott,"122-132, Oshodi Apapa Expressway, Isolo, Lagos, Nigeria"
Sylva Link Hotel,"1, Kunle Adebowale Street, Anthony Village, Lagos, Nigeria"
Sylva Link Hotel,"9, Lanre Awolokun Street, Gbagada, Lagos, Nigeria"
Sylva Link Hotel,"4, Bush Street, Maryland, Lagos, Nigeria"
The African Garden Lodge,"418, Omofade Crescent, Ikeja, Lagos, Nigeria"
Legacy Foods,"24b, Oduduwa Crescent, Ikeja, Lagos, Nigeria"
Chesterfield Hotel,"54, Adeniyi Jones Avenue, Ikeja, Lagos, Nigeria"
Beemeys Creations,"13, Osho Street, Ikeja, Lagos, Nigeria"
Dmatel Hotel,"10, Agungi Road, Lekki, Lagos, Nigeria"
Eagles Park 1960,"7, Obokun Close, Ikeja, Lagos, Nigeria"
Vivax,"3/5, Sapara Street, Ikeja, Lagos, Nigeria"
Mama Ogochukwu Babies & Homes,"Shop 76/77, Ikeja, Lagos, Nigeria"
Zarcol Industries,"Suite 10, Isolo, Lagos, Nigeria"
Ziggies,"Ayinde Sanni Street, Magodo, Lagos, Nigeria"
Ballycious Kitchen 'N' Cakes,"7, Association Close, Ogudu, Lagos, Nigeria"
Madox Nite Club,"82, Adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria"
Clevenard Global International,"1, Ibidun Street, Surulere, Lagos, Nigeria"
Tantalizers,"367 Lagos-abeokuta Express Way, Abule Egba, Lagos, Nigeria"
Tantalizers,"35b Adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria"
Tantalizers,"73 Murtala Mohammed Way, Yaba, Lagos, Nigeria"
Tantalizers,"19 Broad Street, Lagos Island, Lagos, Nigeria"
Tantalizers,"117 Allen Avenue, Ikeja, Lagos, Nigeria"
Tantalizers,"62 Kofo Abayomi Avenue, Apapa, Lagos, Nigeria"
Tantalizers,"154 Olojo Drive, Ojo, Lagos, Nigeria"
Tantalizers,"165 Ogunlana Drive, Surulere, Lagos, Nigeria"
Tantalizers,"81/87 Broad Street, Lagos Island, Lagos, Nigeria"
Tantalizers,"391 Old Ojo Road, Ojo, Lagos, Nigeria"
Tantalizers,"39 Lagos Road, Ikorodu, Lagos, Nigeria"
Tantalizers,"14 Ikotun-idimu Road, Ikotun, Lagos, Nigeria"
Tantalizers,"64 Ipaja Road, Iyana Ipaja, Lagos, Nigeria"
Tantalizers,"Junction Of Admiralty Road, Lekki Phase 1, Lagos, Nigeria"
Tantalizers,"Mobil Filling Statiom, Surulere, Lagos, Nigeria"
Tantalizers,"23 Road, Festac Town, Lagos, Nigeria"
Tantalizers,"58 Ijaiye Ogba Road, Ijaiye, Lagos, Nigeria"
Tantalizers,"Enyo Filling Station, Ikorodu, Lagos, Nigeria"
Tantalizers,"3 Oluwakemi Street, Ketu, Lagos, Nigeria"
Tantalizers,"63 Shipeolu Street, Ilupeju, Lagos, Nigeria"
Alubarika Frozen Foods,"3rd Avenue, Festac, Lagos, Nigeria"
Commint Buka,"26, Itire Road, Surulere, Lagos, Nigeria"
Planet One,"5, Mobolaji Bank Anthony Way, Maryland, Lagos, Nigeria"
Tantalizers,"42 Lekki-epe Expressway, Ajah, Lagos, Nigeria"
Tantalizers,"Nipco Filling Station, Ikorodu, Lagos, Nigeria"
Tantalizers,"75 Kudirat Abiola Way, Ikeja, Lagos, Nigeria"
Tantalizers,"Plot 306b Adeola Odeku Street, Victoria Island, Lagos, Nigeria"
Ski Shawarma,"183a, Akerele Street, Surulere, Lagos, Nigeria"
Aries Suites,"12, Ogun Road, Ikoyi, Lagos, Nigeria"
Nowoola Palace Hotel and Suites,"1, Nancy Nowoola Crescent, Ibeju Lekki, Lagos, Nigeria"
Blue Lounge,"9a, Service Road, Ikeja, Lagos, Nigeria"
Kelin Court,"13, Ogun Street, Surulere, Lagos, Nigeria"
Noah's Ark Hotel & Suites,"14, Lai Yusuf Crescent, Lekki, Lagos, Nigeria"
Convergence Hotel & Suites,"7a, Acme Road, Ikeja, Lagos, Nigeria"
Tophil Caterers,"411, Arigbade Street, Ikeja, Lagos, Nigeria"
Ivory Health Club,"Alfred Rewane Road, Ikoyi, Lagos, Nigeria"
Ivory Health Club,"4 Ogundana Street, Ikeja, Lagos, Nigeria"
Clear Essence California Spa & Wellness Resort,"13 Alexander Road, Ikoyi, Lagos, Nigeria"
Shepherd Hotel,"37, Bode Thomas Street, Surulere, Lagos, Nigeria"
The New World Inn,"41 - 47, Ekunola Street, Okota, Lagos, Nigeria"
Haile Selassiers,"60, Adetola Street, Surulere, Lagos, Nigeria"
Dimead Royal Link Consult,"Suite 5, Egbeda, Lagos, Nigeria"
Dara Outfit,"45, Okunola Road, Egbeda, Lagos, Nigeria"
Delicious Designs,"Falomo Area, Ikoyi, Lagos, Nigeria"
The Grandluxe Hotel,"4, Harold Shodipo Crescent, Ikeja, Lagos, Nigeria"
DUFIL Prima Foods,"39, Eric Moore Road, Surulere, Lagos, Nigeria"
The Walgreen Hotel by De Chills Hind,"1, Oba Olusesi Road, Lekki, Lagos, Nigeria"
Pravada Lounge,"1098b Adeola Odeku Street, Victoria Island, Lagos, Nigeria"
Daytona Supermarket,"21, Admiralty Road, Lekki, Lagos, Nigeria"
Infinity Hotel,"1, Servage Avenue, Alimosho, Lagos, Nigeria"
T Lounge,"58, Oladun Street, Idimu, Lagos, Nigeria"
Payless Supermarket,"Near Abraham Adesanya Estate, Lagos, Nigeria"
Wrawley Supermarket,"Mayfair Gardens Estate, Awoyaya, Lagos, Nigeria"
Carlyfunia,"4a, Industrial Avenue, Yaba, Lagos, Nigeria"
Chika's Finger,"20, Adebola Street, Surulere, Lagos, Nigeria"
Chop Box,"Samuel Manuwa Street, Victoria Island, Lagos, Nigeria"
First HACCP System,"71, Yaya-abatan Street, Ogba, Lagos, Nigeria"
Abidap Hotels,"5/7, Dh Street, Ipaja, Lagos, Nigeria"
Owel-Linkso Group,"293, Akin Olugbade Street, Victoria Island, Lagos, Nigeria"
Bolafolu Foodfillment,"9, Alhaji Olaogun Drive, Surulere, Lagos, Nigeria"
High Point Hotel,"49, Bello Street, Oshodi, Lagos, Nigeria"
Astoria Caterers,"2 Emina Crescent, Ikeja, Lagos, Nigeria"
Yummi Fried Chicken Catering Services,"8, Sholanke Street, Akoka, Lagos, Nigeria"
King of Spices Catering,"52, Owodunni Street, Iwaya, Lagos, Nigeria"
Freez Photography,"16, Winco Street, Ketu, Lagos, Nigeria"
Fair Smiles,"22, Ilori Street, Isolo, Lagos, Nigeria"
Casa Lydia Hotel,"19, Glover Road, Ikoyi, Lagos, Nigeria"
Green City Farms,"12c, Talabi Street, Ikeja, Lagos, Nigeria"
Dixie Suites,"12, Ayinde Akinmade Road, Lekki, Lagos, Nigeria"
"Lekki Goat, Ram and Snail Farm","Green Zone Area, Lekki, Lagos, Nigeria"
The Fish Shop,"37 Joel Ogunnaike Street, Ikeja, Lagos, Nigeria"
The Fish Shop,"4 Ashabi Adedire Street, Apapa, Lagos, Nigeria"
ZOSIA FOODS LTD,"48 Chivita Avenue, Isolo, Lagos, Nigeria"
Macdonex Hotels,"40,boladale Street, Oshodi, Lagos, Nigeria"
Splendour Suites,"4,fadeyi Aladura Street, Ikeja, Lagos, Nigeria"
Otabor ventures (Mama Gee),"25, Duro Oyedoyin Street, Surulere, Lagos, Nigeria"
Grand Venice Transit Appartment,"12, Fatai Irawo Street, Osodi-isolo, Lagos, Nigeria"
Golden Destiny Hotels,"6, Awoniyi Elemo Street, Ajao Estate, Lagos, Nigeria"
Dalian's Place Guest House,"43, Oritse Street, Ikeja, Lagos, Nigeria"
GrandVenice Transit Apartments,"12, Fatai Irawo Street, Ajao Estate, Lagos, Nigeria"
Royal Jatoz,"9, Rasmon Street, Isolo, Lagos, Nigeria"
Vine-Health Paramedic Services,"23, Bode Thomas Street, Surulere, Lagos, Nigeria"
R & R Bistro And Lounge,"3, Arepo Road, Berger, Lagos, Nigeria"
Villa Picasso Hotels,"62a, Ademola Adetokunbo, Victoria Island, Lagos, Nigeria"
De Next Centre,"16/18, Olutosin Ajayi Street, Ikeja, Lagos, Nigeria"
Oragon Hotel And Suites,"9, Oluwasijibomi Street, Ikeja, Lagos, Nigeria"
Lufasi,"Majek 1st Gate,, Lekki, Lagos, Nigeria"
The Place,"4, Adeola Odeku, Victoria Island, Lagos, Nigeria"
The Place,"Plot 3b Block A10 Admiralty Way, Lekki, Lagos, Nigeria"
Dymofed Ventures,"3, Daramola Street, Egbeda, Lagos, Nigeria"
Zibet Fitness And Massage Center,"Kekere Ado Road, Ajah, Lagos, Nigeria"
Sectronics Intl Ltd,"16, Lekki â€“ Express Way, Lekki, Lagos, Nigeria"
Welcome Centre And Hotels,"70, International Airport Road, Ikeja, Lagos, Nigeria"
Farmshoppe,"42, Avenue Des Champs Elysã©es, Ikeja, Lagos, Nigeria"
Alfim Nigeria,"4a, Western Avenue, Surulere, Lagos, Nigeria"
Oakspring Hotels,"5, Sunday Ogunyade Street, Gbagada, Lagos, Nigeria"
Duckland Hotel And Suites,"1/3, Bashiru Oshikoya Street, Ikorodu, Lagos, Nigeria"
Lasa Hotel,"43 , Murtala Mohammed International Airport Road, Oshodi-isolo, Lagos, Nigeria"
Emota Paradise Hotel,"3/5, Olufemi Sampson Street, Ilasa, Lagos, Nigeria"
Nimmaco,"1, Abimbola Street, Isolo, Lagos, Nigeria"
Niger Biscuit Company,"33, Creek Road P.o.box 1568, Apapa, Lagos, Nigeria"
Rennies Supermarket,"Vgc Lekki Expressway, Lekki, Lagos, Nigeria"
Life Flour Group,"10,adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria"
Bacchus Night Club,"57 Awolowo Road,, Ikoyi, Lagos, Nigeria"
Promasidor,"3a & B Limca Way,, Isolo, Lagos, Nigeria"
Flour Mills Of Nigeria,"2, Old Dock Road, Apapa, Lagos, Nigeria"
Soupa Soup,"6, Senate Crescent, Magodo, Lagos, Nigeria"
Hd,"863 D, Adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria"
Sam & Sara,"1607, Omega Bank Avenue, Victoria Island, Lagos, Nigeria"
Sam & Sara,"15a, Sasegbon Street, Ikeja, Lagos, Nigeria"
Ipaja Palace Hotel,"225, Ipaja Road, Alimosho, Lagos, Nigeria"
Sensor Merchant Nigeria,"Km3 Ikorodu Road Itowolo Village, Ikorodu, Lagos, Nigeria"
Techo Quip Limited,"14-16 Olushola Ikare Street, Ikotun, Lagos, Nigeria"
Terra Kulture Boutique,"1376 Tiamiyu Savage, Victoria Island, Lagos, Nigeria"
Omoba Royal Hotel,"Afilaka Steet, Ikotun, Lagos, Nigeria"
Rich Events and cuisine,"Block 4, Flat 40b, Funsho Willams Street, Ojodu Berger, Lagos, Nigeria"
De Santos Hotel,"7 Shasha Road, Ikeja, Lagos, Nigeria"
Givanas Nigeria,"18/20, Burma Road, Apapa, Lagos, Nigeria"
Doyin Group,"4, Agbagbon Close, Adeola Odeku Street, Victoria Island, Lagos, Nigeria"
DVC Limited,"7/9, Ayanlu Street, Isolo, Lagos, Nigeria"
Lagra & Associates,"142/146, Oshodi-apapa Express Way, Oshodi Apapa, Lagos, Nigeria"
Junaid Group,"3, Ribadu Road, Ikoyi, Lagos, Nigeria"
Vintage Suites,"9b Dr Ezukuse Close, Lekki, Lagos, Nigeria"
Omnik,"586, Ikorodu Road, Ketu, Lagos, Nigeria"
Igbeyawo Nigeria,"Ogba Lagos, Ikeja, Lagos, Nigeria"
Kensonic Nig Enterprises,"H53e Alaba International Market, Badagry, Lagos, Nigeria"
ReelFruit,"2, Igbobi College Access Road, Yaba, Lagos, Nigeria"
Mimz Lounge,"52a, Omorinre Johnson Street, Lekki Phase 1, Lagos, Nigeria"
Nagode Industries,"33, Mobolaji Johnson Avenue, Oregun, Lagos, Nigeria"
Licious Desserts,"60 Allen Avenue, Ikeja, Lagos, Nigeria"
Cafe Neo,"16, Akin Adesola Street, Angelikas, Victoria Island, Lagos, Nigeria"
Cafe Neo,"19b, Adeyemi Lawson Street, Ikoyi, Lagos, Nigeria"
Cafe Neo,"6, Agoro Odiyan Street,, Lagos, Nigeria"
Cafe Neo,"39, Alfred Rewane Road,, Lagos, Nigeria"
Cafe Neo,"Plots 3&4, Water Corporation Road,, Victoria Island, Lagos, Nigeria"
Smridu,"1623, Saka Jojo Street, Victoria Island, Lagos, Nigeria"
Adverture,"258 Etim Inyang Street, Victoria Island, Lagos, Nigeria"
Sailors Lounge,"Plot 1 Block 12, Admiralty Road, Lekki, Lagos, Nigeria"
KoboDesk,"Flat-2/7 Esther Adeleke Street, Lekki Phase 1, Lagos, Nigeria"
De Place Eatery And Bar,"51, Oladun Street, Alimosho, Lagos, Nigeria"
The Civic Centre,"Ozumba Mbadiwe Road, Victoria Island, Lagos, Nigeria"
Rita Lori Hotels,"1-4, Taoridi Street, Surulere, Lagos, Nigeria"
Crepes de France,"133, Ahmadu Bello Way,, Lagos Island, Lagos, Nigeria"
Threee Arms Hotel,"Plot 14 Royal Palms Drive, Ikoyi, Lagos, Nigeria"
Root4u,"27/28, Castle Rock Avenue, Lekki, Lagos, Nigeria"
DIN Logistics,"40, Adegbola Street, Anifowoshe, Ikeja, Lagos, Nigeria"
"Food, Beverage and Tobacco Senior Staff Association","32, Isaac John Street, Fadeyi, Lagos, Nigeria"
Guest Quarters,"16, Oyinkan Abayomi Drive, Ikoyi, Lagos, Nigeria"
Trendor Hotel,"4, Fadeyi Aladura Street, Ikeja, Lagos, Nigeria"
Mo'Ogbams Feedmills,"Km 10, Lasu/igando Expressway, Igando, Lagos, Nigeria"
Best Foods Groups,"15 Maduike Street, Ikoyi, Lagos, Nigeria"
Avogadros and Pyhtagoras,"21 Taiwo Okoilu Street, Ogba, Lagos, Nigeria"
Farmsprite,"57 Adelabu Street, Surulere, Lagos, Nigeria"
Norland International,"28,osolo Way, Isolo, Lagos, Nigeria"
Easy Sauces,"1, Easysauces Lane, Ibeju-lekki, Lagos, Nigeria"
2dotsmarket,"Lekki, Lekki, Lagos, Nigeria"
Aso Rock Hotels,"37 Abaranje Road, Alimosho, Lagos, Nigeria"
Olaiya Foods,"109 Akerele Street, Surulere, Lagos, Nigeria"
Victoria Suites,"8 Razaq Balogun Street, Surulere, Lagos, Nigeria"
Agricorp International,"10b, Ladi Alakija Street, Lekki, Lagos, Nigeria"
Yoodalo,"2nd Floor, Suites 2a & 2h, Lagos Island, Lagos, Nigeria"
Sana Global Projects,"47, Adeniyi Jones, Ikeja, Lagos, Nigeria"
KFC,"Shop L80 - L81 Obafemi Awolowo Way, Ikeja, Lagos, Nigeria"
KFC,"28 Kodesoh Street, Ikeja, Lagos, Nigeria"
JustAfang & Yogiegee,"12 Admiralty Way, Lekki, Lagos, Nigeria"
